Report generated on: 04-08-2024 05:36:21
"API","","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"","refined petroleum products consumption (Mb/d)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.54-2-BGR-TBPD.A","        Bulgaria","","","","","","","","306","294","295.000000001","295.000000001","294","290","286.1","276.4","278.2","235.9","192","120.9","129.2","116.9","126.5","130.7","118.3","106.5","102.72117","97.1","89.01895409836062","93.97004821917805","95.5829775342466","101.03185424657534","102.93810491803283","109.70246027397258","110.90771068493154","106.51725150684945","104.9871945355192","100.84418410958907","89.06142684931507","84.04729095890427","86.29907213114748","80.91854027397271","88.99674410958896","95","97","91.05237260273972","92.77303479452054","97.76178630136987","89.77875497719371","98.48053717904813","100.50798121657326"
"INTL.54-2-BFA-TBPD.A","        Burkina Faso","","","","","","","","2.999999999","2.999999999","2.999999999","2.999999999","2.999999999","2.899999999","3.43178","3.5","3.73723","3.32827","3.35866","3.83239","3.83169","4.13178","4.53178","4.53178","4.73169","7.73178","7.13178","7.1317808219178085","6.57365846994535","7.513553424657537","7.787838356164382","8.54285753424658","7.623174863387984","8.091972602739723","7.965150684931504","11.47930531506849","12.500347540983611","11.661326328767123","12.562207561643838","14.483612000000003","17.1713838251366","20.80408454794524","19.389101369863013","24.989254","23.560097860085","27.537754166347","30.258427543555","30.828547945205","29.43635698360657","34.54885075132108","35.635019841095904"
"INTL.54-2-MMR-TBPD.A","        Burma","","","","","","","","23","23","24.000000002","23","24.000000002","22.000000001","17.39609","16.3","16.7","16.7","15.1","15.69","16.52732","16.4","18.9","18.32117","19.42112","24.92117","29.54235","36.62117808219178","38.89447540983602","31.510987397260298","31.561146301369813","36.35636273972602","37.111569398907086","36.24701589041091","36.86566246575339","36.24931726027401","28.538410928961753","23.71431123287675","27.255809315068465","25.29113315068495","45.121046994535476","60.41579178082188","93.69763945205476","72.233809","91.669789","135.45917808219178","140.60180821917808","146.216821917808","138.5723708907104","141.30443112694854","148.13803429630968"
"INTL.54-2-BDI-TBPD.A","        Burundi","","","","","","","","0.699999999","0.8","0.699999999","0.8","1","1","1.01239","1.07581","1.69767","1.96059","2.06353","2.36353","2.16336","2.46353","2.56353","2.46353","2.56336","2.56353","2.66353","2.6635342465753427","2.210245901639343","1.7044383561643848","1.5468066876712323","1.237259567123288","1.5014219382513656","1.2321215835616437","1.5333076712328768","2.556553424657534","1.4846434153005466","1.460013315068493","2.1950031780825205","2.7674291780819993","2.5566001003071417","2.8265989863022742","2.603383013699466","2.649503013698","2.958312520548","3.524551780842","4.690095890411","4.988767123236","4.763478710382514","5.337603273776547","5.505410378082191"
"INTL.54-2-CPV-TBPD.A","        Cabo Verde","","","","","","","","2.1","2.1","0.9","0.9","1.1","1.1","0.33769","0.35686","0.48248","0.5827","0.5827","0.5827","0.68248","0.6827","0.80388","0.78248","0.9036","0.90388","0.90388","0.9038904109589041","2.2287131147540973","2.508549041095887","2.6987561643835645","2.6639205479452066","2.8950382513661226","4.4993315068493205","4.77217972602739","5.411581643835614","5.370859562841527","5.1383131506849296","5.50312191780822","6.406559999999994","5.5606049315068455","5.4268512328767144","5.8219792328767115","5.783461","6.06786","6.4755123288","6.4982943289","6.4982943289","6.204741376654372","4.353455068493151","4.4903217890410945"
"INTL.54-2-KHM-TBPD.A","        Cambodia","","","","","","","","1.9","2","2.2","2.5","2.8","2.8","2.8","2.8","3","3","3","3.2","3.2","3.2","3.2","10.3","11.3","13.3","16","16.6","14.404480874316947","15.361863013698633","15.304821917808225","16.539644808743176","17.021885245901647","19.213917808219175","20.754109589041096","24.470739726027396","24.290628415300546","29.833917808219205","33.65860273972604","34.23216438356163","36.00720547945202","36.2697808219178","37.93180821917811","43","48.792568","50.460410959","55.2317534246","64.125753424659","60.77325060783581","69.9488317806728","73.33161701789905"
"INTL.54-2-CMR-TBPD.A","        Cameroon","","","","","","","","16.000000001","16.000000001","19","19","19","19.999999999","22.24379","20.8","20","24.2","24.6","24.7","24.8","20.6","22.8","23.4","22.5","23.5","23.4","21.6","22.70502841530055","22.212140273972608","23.33201095890413","24.52349698630137","24.53316612021858","23.84051726027397","28.52901369863012","31.26447013698627","30.3884218579235","35.27573698630132","38.494989589041076","42.310597260274","39.18912219178082","30.7842115068493","42.40675835616435","39","38.52","37.92254794520548","36.522109589041484","37.927698630137","38.86114144538987","39.238753282050055","40.47236654246589"
"INTL.54-2-CAN-TBPD.A","        Canada","1729","1779","1779","1818","1850","1902","1971","1873","1768","1578","1448","1504.027321","1513.857534","1517.520548","1592.243835","1666.131147","1738.59726","1656","1602.945206","1650.224045","1672.378083","1693.758904","1733.213698","1788.612021","1870.235619","1864.230138","1945.947945","1926.713114","1944.079451","2040.084932","2154.605479","2230.26776","2317.041096","2312.219177","2402.328765","2319.254097","2257.926027","2364.695891","2392.69041","2437.846994","2417.863014","2389.315069","2440.501371","2464.721312","2463.238357","2512.473972","2548.88767","2214.215846","2257.509589","2406.506849"
"INTL.54-2-CYM-TBPD.A","        Cayman Islands","","","","","","","","0.7","0.8","0.8","0.7","0.8","0.8","0.75616","0.80577","1.89906","1.89934","2.03112","1.99934","2.03076","1.93112","2.23112","2.37939","2.37939","2.37988","2.37988","2.3798904109589043","3.427896174863385","3.482383561643838","3.610876712328765","3.6586301369862997","3.448852459016392","3.55958904109589","3.6110684931506833","4.310794520547946","4.433251366120222","4.116082191780817","4.127726027397262","4.367808219178082","4.013150684931503","3.9839726027397298","4.044249863013694","4.285205","4.219779","4.8649863013","4.5118630136","5.48706139780822","4.620683217494326","4.56249033150685","4.801411616438357"
"INTL.54-2-CAF-TBPD.A","        Central African Republic","","","","","","","","1","1.3","1.4","1.5","1.4","1.4","1.7","1.55473","1.5546","1.55473","1.67298","1.77298","1.67278","1.87298","1.97298","1.97278","2.07278","2.07298","2.07298","2.072986301369863","1.9757782019620047","2.0463835616442196","2.0230136986302196","1.876438356164425","1.8396713825882562","1.803884931506548","1.8669479452048767","1.8684438356160968","1.4117510292678908","1.346684931506863","1.3895616438358631","1.519342465753863","1.563150684930863","1.024876712328863","1.133479452054863","1.625944904111","1.755230164384","1.846164383562","1.9129863013700001","1.95808219178","1.8695614020282296","2.095665479452055","2.161550432876712"
